increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
8,5577,-8.45,-8.84,2.69,313.39,Kent,M/2,left,7,sheep,Late Bronze Age,TRUE,0.38,summer
1,5578,-10.17,-11.75,37.85,7.39,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
3,5578,-10.23,-11.17,34,55.63,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
5,5578,-10.18,-8.67,30.81,95.6,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
7,5578,-10.16,-6.63,28,130.81,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
9,5578,-10.22,-5.34,24.62,173.16,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
11,5578,-9.9,-4.97,21.67,210.13,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
13,5578,-9.29,-6.78,17.53,262.01,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
15,5578,-9.04,-8.82,14.76,296.72,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
17,5578,-8.94,-10.29,11.66,335.56,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
19,5578,-9.02,-10.98,8.37,11.79,Kent,M/2,left,8,sheep,Late Bronze Age,TRUE,0.78,fall
1,5579,-9.43,-13.09,30.58,362.5,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
3,5579,-9.73,-12.32,27.06,42.34,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
5,5579,-10.14,-10.1,22.82,96.35,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
7,5579,-10.52,-6.93,19.23,142.07,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
9,5579,-10.54,-5.21,16.13,181.56,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
11,5579,-10.35,-5.57,13.12,219.9,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
13,5579,-9.94,-7.82,9.14,270.59,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
15,5579,-9.43,-10.24,6.51,304.09,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
