increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
7,CHP10,-9.43,-3.6,2.7,269.09,Chap,M/2,right,8,caprine,Final Bronze Age,FALSE,0.31,spring
1,IBX01,-11.83,-4.65,30.8,141.67,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
2,IBX01,-11.86,-3.93,27.9,191.16,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
3,IBX01,-11.15,-5.15,25.1,238.95,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
4,IBX01,-10.71,-6.99,22.1,290.15,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
5,IBX01,-10.24,-10.04,19.3,337.93,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
6,IBX01,-9.98,-12.57,16.7,17.31,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
7,IBX01,-10,-10.99,14.3,58.27,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
8,IBX01,-10.59,-8.16,11.5,106.05,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
9,IBX01,-11.2,-4.15,8.7,153.84,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
10,IBX01,-10.91,-5.43,6,199.92,Jeti-Oguz,M/2,left,9,ibex,Modern,FALSE,0.29,spring
1,IBX02,-10.03,-10.72,39.5,24.63,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
2,IBX02,-10.42,-8.54,37,62.02,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
3,IBX02,-10.81,-6.3,34,106.88,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
4,IBX02,-11.13,-3.78,31.3,147.25,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
5,IBX02,-11.31,-2.59,28.1,195.1,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
6,IBX02,-10.95,-3.85,25.2,238.47,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
7,IBX02,-10.8,-5.25,22.5,278.84,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
8,IBX02,-10.3,-7.62,20,316.22,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
9,IBX02,-10.15,-9.94,17,361.08,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
10,IBX02,-10.36,-10.35,14.3,36.46,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
11,IBX02,-10.56,-8.33,11.8,73.84,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
12,IBX02,-11.25,-4.67,8.5,123.18,Jeti-Oguz,M/3,left,9,ibex,Modern,FALSE,0.14,spring
1,IBX03,-11.67,-7.99,39.4,225.62,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
2,IBX03,-11.51,-10.14,36.8,295.86,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
3,IBX03,-11.11,-12.12,33.8,11.9,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
4,IBX03,-11.12,-9.87,31.1,84.83,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
5,IBX03,-11.49,-5.47,28.5,155.06,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
6,IBX03,-11.76,-3.62,25.6,233.4,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
7,IBX03,-11.5,-5.32,22.9,306.34,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
8,IBX03,-10.99,-9.05,20.2,14.27,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
9,IBX03,-10.41,-10.04,17.7,81.8,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
10,IBX03,-11.15,-5.47,14.9,157.44,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
11,IBX03,-11.28,-6.23,12.3,227.67,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
12,IBX03,-10.03,-9.95,9.7,297.91,Jeti-Oguz,M/3,right,10,ibex,Modern,FALSE,0.99,winter
1,IBX04,-11.55,-11.05,28.3,300.64,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
2,IBX04,-11.13,-12.19,25.3,19.42,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
3,IBX04,-11.38,-10.14,22.4,100.41,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
4,IBX04,-12.04,-5.98,19.4,184.19,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
5,IBX04,-12.17,-4.71,16.9,254.01,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
6,IBX04,-11.63,-8.11,14.4,323.83,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
7,IBX04,-11.26,-11.12,11.9,28.64,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
8,IBX04,-11.03,-7.32,9.4,98.46,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
9,IBX04,-11.31,-4.83,6.9,168.28,Jeti-Oguz,M/2,right,10,ibex,Modern,FALSE,0.45,summer
1,T020,-10.46,-7.27,28.08,296.07,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
2,T020,-10.56,-7.88,27.21,308.37,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
3,T020,-10.61,-8.67,26.16,323.21,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
4,T020,-10.55,-8.6,24.95,340.32,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
5,T020,-10.55,-9.56,23.88,355.44,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
6,T020,-10.28,-9.19,22.34,12.21,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
7,T020,-10.29,-9.78,21.04,30.59,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
8,T020,-10.29,-9.62,19.81,47.97,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
9,T020,-10.56,-9.09,18.32,69.04,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
10,T020,-10.7,-8.25,17.14,85.72,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
11,T020,-10.98,-6.55,15.9,103.24,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
12,T020,-11.41,-5.16,14.44,123.88,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
13,T020,-11.74,-3.41,13.19,141.55,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
14,T020,-12,-1.41,11.7,162.61,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
15,T020,-12.38,-0.92,10.16,184.38,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
16,T020,-12.26,-0.97,8.59,206.57,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
17,T020,-11.98,-2.02,7.07,228.06,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
18,T020,-11.74,-3.13,5.7,247.43,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
19,T020,-11.3,-4.43,4.41,265.66,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
20,T020,-11.13,-5.91,3.08,284.46,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
21,T020,-10.77,-6.9,1.92,300.86,Bayan-Zherek,M/2,left,1,caprine,Modern,TRUE,0.36,spring
1,T032,-7.06,-6.57,40.02,291.31,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
2,T032,-6.64,-7.85,37.26,308.98,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
3,T032,-6.86,-8.83,34.66,325.62,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
4,T032,-6.95,-9.85,31.79,343.99,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
5,T032,-7.2,-10.91,29.12,361.08,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
6,T032,-7.37,-11.31,26.73,11.38,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
7,T032,-8.05,-11.7,23.69,30.84,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
8,T032,-8.36,-11.17,21.28,46.27,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
9,T032,-8.43,-10,18.33,65.15,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
10,T032,-9.29,-7.88,15.46,83.52,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
11,T032,-10.16,-6.26,12.83,100.36,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
12,T032,-10.72,-3.2,9.47,121.86,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
13,T032,-11.17,-2.67,6.38,141.64,Begash,M/2,left,2,caprine,Late Bronze Age,TRUE,0.96,winter
1,T033,-9.52,-12.14,39.91,329.85,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
2,T033,-9.59,-12.37,38.46,343.69,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
3,T033,-9.48,-12.77,37.18,355.9,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
4,T033,-9.59,-12.98,35.87,3.4,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
5,T033,-9.62,-12.9,34.43,17.14,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
6,T033,-9.75,-13,33.07,30.12,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
7,T033,-9.91,-12.38,31.45,45.57,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
8,T033,-10.09,-12.36,30.3,56.55,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
9,T033,-10.02,-11.21,28.89,70,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
10,T033,-10.29,-10.99,27.62,82.12,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
11,T033,-10.47,-9.77,26.29,94.81,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
12,T033,-10.34,-8.85,25.02,106.93,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
13,T033,-10.57,-8.78,23.74,119.14,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
14,T033,-10.63,-7.82,22.37,132.21,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
15,T033,-10.55,-6.8,20.98,145.48,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
16,T033,-10.48,-5.59,19.53,159.31,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
17,T033,-10.23,-4.76,18.15,172.48,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
18,T033,-10.12,-4.46,16.76,185.74,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
19,T033,-10.25,-4.82,15.4,198.72,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
20,T033,-9.88,-4.94,14.06,211.5,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
21,T033,-9.83,-5.84,12.8,223.53,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
22,T033,-9.72,-6.1,11.49,236.03,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
23,T033,-9.37,-6.37,10.26,247.76,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
24,T033,-9.1,-7.13,8.93,260.45,Dali,M/2,right,3,caprine,Final Bronze Age,TRUE,0.41,summer
1,T085,-11.17,-2.53,27.24,165.8,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
2,T085,-10.94,-2.67,23.87,195.65,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
3,T085,-10.86,-2.85,20.31,227.17,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
4,T085,-10.37,-4.29,16.72,258.97,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
5,T085,-9.74,-6.37,12.98,292.09,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
6,T085,-9.48,-8.97,9.44,323.44,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
7,T085,-9.67,-10.96,6.28,351.43,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
8,T085,-10.03,-10.47,3.12,14.42,Dali,M/2,right,4,caprine,Early Bronze Age,TRUE,0.57,summer
1,T113,-8.69,-4.6,36.76,284.15,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
2,T113,-8.65,-6.7,33.64,305.65,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
3,T113,-8.98,-8.75,30.48,327.41,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
4,T113,-9.1,-9.94,27.23,349.8,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
5,T113,-9.35,-10.59,23.39,11.26,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
6,T113,-9.64,-10.87,21.07,27.24,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
7,T113,-10.21,-10.22,18.49,45.01,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
8,T113,-10.49,-8.71,15.52,65.47,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
9,T113,-10.85,-7.11,12.8,84.21,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
10,T113,-11.06,-4.99,9.45,107.29,Begash,M/2,left,5,caprine,Late Bronze Age,TRUE,0.93,winter
1,T114,-10.14,-9.03,36.06,73.85,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
2,T114,-10.37,-8.6,34.43,87.54,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
3,T114,-10.47,-7.84,32.69,102.16,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
4,T114,-10.74,-6.52,31.04,116.02,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
5,T114,-10.87,-5.13,29.09,132.4,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
6,T114,-10.94,-4.2,27.41,146.52,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
7,T114,-10.98,-2.84,25.19,165.17,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
8,T114,-10.91,-2.15,23.3,181.05,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
9,T114,-10.82,-2.03,20.79,202.13,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
10,T114,-10.52,-2.39,18,225.57,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
11,T114,-10.29,-3.8,15.37,247.66,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
12,T114,-9.9,-5.63,12.15,274.72,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
13,T114,-9.43,-8.13,9.05,300.76,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
14,T114,-9.14,-11.13,5.74,328.56,Begash,M/2,right,6,caprine,Late Bronze Age,TRUE,0.49,summer
1,T115,-8.08,-7.96,29.41,151.23,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
2,T115,-8.18,-5.6,26.65,163.89,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
3,T115,-8.12,-4.63,23.59,177.93,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
4,T115,-7.65,-4.81,20.7,191.2,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
5,T115,-6.7,-4.12,17.96,203.77,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
6,T115,-5.93,-5.15,14.79,218.32,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
7,T115,-5.55,-6.49,12.03,230.98,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
8,T115,-5.34,-7.2,9.19,244.02,Begash,M/2,left,7,caprine,Late Bronze Age,TRUE,0.24,spring
1,T132,-3.6,-8.67,37.75,274.72,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
2,T132,-3.38,-9.9,34.75,308.17,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
3,T132,-3.22,-11.23,31.75,341.62,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
4,T132,-3.63,-12.52,28.43,13.64,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
5,T132,-4.74,-12.47,25.34,48.1,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
6,T132,-6,-10.64,21.83,87.23,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
7,T132,-7.53,-7.9,18.73,121.8,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
8,T132,-8.87,-5.05,15.57,157.04,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
9,T132,-8.73,-3.77,12.16,195.06,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
10,T132,-7.65,-5.08,8.75,233.08,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
11,T132,-6.6,-7.67,5.74,266.65,Begash,M/2,right,8,caprine,Early Bronze Age,TRUE,0.36,spring
1,T147,-8.27,-9.78,28.66,312.43,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
2,T147,-8.41,-10.59,27.27,330.8,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
3,T147,-8.42,-11.68,25.79,350.36,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
4,T147,-8.51,-12.05,24.16,6.9,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
5,T147,-8.74,-11.91,22.6,27.52,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
6,T147,-8.82,-11.29,21.22,45.76,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
7,T147,-8.94,-10.48,19.62,66.9,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
8,T147,-8.94,-9.25,18.11,86.86,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
9,T147,-9.23,-8.08,16.7,105.49,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
10,T147,-9.2,-6.41,15.32,123.73,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
11,T147,-9.47,-5.14,13.86,143.03,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
12,T147,-9.43,-3.74,12.36,162.85,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
13,T147,-9.35,-2.73,10.94,181.62,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
14,T147,-9.1,-2.32,9.42,201.71,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
15,T147,-8.86,-3.25,7.94,221.27,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
16,T147,-8.25,-4.71,6.38,241.89,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
17,T147,-7.85,-6.1,4.41,267.92,Begash,M/2,left,9,caprine,Saka/Scythian,TRUE,0.35,spring
