specimen,increment,d13C,d18O,measure
5579,1,-9.43,-13.09,30.58
5579,2,-9.73,-12.32,27.06
5579,3,-10.14,-10.1,22.82
5579,4,-10.52,-6.93,19.23
5579,5,-10.54,-5.21,16.13
5579,6,-10.35,-5.57,13.12
5579,7,-9.94,-7.82,9.14
5579,8,-9.43,-10.24,6.51
5579,9,-9.18,-12.52,3.53
