specimen,increment,d13C,d18O,measure
T129,1,-11.364,-10.017,21.4
T129,2,-11.094,-10.385,19.98
T129,3,-11.21,-10.241,18.37
T129,4,-11.178,-10.537,16.95
T129,5,-11.198,-10.672,15.62
T129,6,-10.98,-10.659,14.27
T129,7,-11.044,-10.53,12.8
T129,8,-11.073,-9.969,11.42
T129,9,-11.07,-9.617,9.96
T129,10,-11.038,-9.499,8.49
T129,11,-10.853,-9.281,7.17
T129,12,-10.778,-9.049,5.65
T129,13,-10.832,-8.797,4.27
T129,14,-10.816,-8.672,2.91
