specimen,increment,d13C,d18O,measure
5587,1,-10.21,-6.51,27.59
5587,2,-10.14,-9.34,23.71
5587,3,-10.05,-10.47,20.02
5587,4,-10.07,-10.89,17.15
5587,5,-10.37,-10.79,13.73
5587,6,-10.78,-9.8,10.25
5587,7,-11.26,-7.43,7.25
5587,8,-11.61,-4.73,4.05
5587,9,-11.41,-3.06,1.24
