specimen,increment,d13C,d18O,measure
CHP07,1,-10.47,-0.25,23.9
CHP07,1,-10.36,-0.1,23.9
CHP07,2,-9.6,-0.31,21.5
CHP07,3,-9.26,-1.8,19.2
CHP07,4,-8.87,-2.54,16.4
CHP07,5,-8.65,-4.27,14.2
CHP07,6,-8.36,-6.1,11.7
CHP07,7,-8.42,-7.75,9.6
CHP07,8,-8.63,-9.01,6.7
CHP07,9,-9.1,-8.16,4.2
