specimen,increment,d13C,d18O,measure
IBX02,1,-10.03,-10.72,39.5
IBX02,2,-10.42,-8.54,37
IBX02,3,-10.81,-6.3,34
IBX02,4,-11.13,-3.78,31.3
IBX02,5,-11.31,-2.59,28.1
IBX02,5,-11.32,-2.59,28.1
IBX02,6,-10.95,-3.85,25.2
IBX02,7,-10.8,-5.25,22.5
IBX02,8,-10.31,-7.62,20
IBX02,9,-10.15,-9.94,17
IBX02,10,-10.3,-10.32,14.3
IBX02,10,-10.41,-10.39,14.3
IBX02,11,-10.56,-8.33,11.8
IBX02,12,-11.25,-4.67,8.5
